Comment,Designator,Footprint,LCSC Part Number
LM5164-Q1 Step-Down Converter,U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm,C2836263
ESP32-S3-WROOM-1-N16R8,U2,ESP32-S3-WROOM-1,C2913200
Everest ES8388 Audio Codec,U3,QFN-28-1EP_4x4mm_P0.4mm,C111306
Mornsun B0505S-1WR3 Galvanic DC/DC,U4,Mornsun_B_S-1WR3_THT,C99757
Bosch BMI270 6-Axis IMU,U5,LGA-14_2.5x3mm_P0.5mm,C2686866
TCAN334G TI CAN-FD Transceiver,U6,SOIC-8_3.9x4.9mm_P1.27mm,C386121
TLP222A PhotoMOS Relays,Q1 Q2 Q3 Q4,SOIC-4,C118128
WS2812B-2020 RGB Status LED,D1,LED_WS2812B-2020,C965555
SMBJ36A Automotive TVS Diode,D2 D3,DO-214AA,C2834571
100uF 50V Low-ESR Electrolytic Cap,C1 C2,CAP-SMD_BD8.0-L10.2,C134598
10uF 50V 0805 X7R Ceramic Cap,C3 C4 C5 C6,C_0805_2012Metric,C15850
100nF 50V 0603 X7R Ceramic Cap,C7 C8 C9 C10 C11 C12,C_0603_1608Metric,C14663
47uH 1.8A Shielded Power Inductor,L1,IND-SMD_L7.3-W7.3,C147610
HD26 High-Density D-Sub Female,J1,DSUB-26-HD_Female_Horizontal,C2932311
MicroSD Push-Push Card Slot,J2,microSD_HC_Molex_47571-0001,C37549
USB Type-C 16-Pin Receptacle IP67,J3,USB_C_Receptacle_GCT_USB4085,C2988369
M8 3-Pin Circular Socket,J4,PinHeader_1x03_P2.54mm_Vertical,C224376
