Comment,Designator,Footprint,LCSC Part Number
ESP32-C3-WROOM-02,U1,RF_Module:ESP32-C3-WROOM-02,C2934560
u-blox MAX-M10S GNSS Module,U2,RF_GPS:u-blox_MAX-M10S,C2911220
Semtech SX1262 LoRa Transceiver,U3,Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm,C2681387
DS2401 Silicon Serial ROM,U4,Package_TO_SOT_SMD:SOT-23,C2834570
6-Pin Mill-Max Pogo Interface,J1,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,C224376
868MHz LoRa U.FL Port,ANT1,Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical,C189201
GNSS 1.575GHz U.FL Port,ANT2,Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical,C189201
47nH RF Inductor 0603,L1,Inductor_SMD:L_0603_1608Metric,C1035
TVS Diode SOD-323,D1,Diode_SMD:D_SOD-323,C84240
10uF 16V 0805 X7R,C1,Capacitor_SMD:C_0805_2012Metric,C15850
100nF 50V 0603 X7R,C2 C3 C4,Capacitor_SMD:C_0603_1608Metric,C14663
