Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U1,LM5164-Q1,SOIC-8-1EP,18.00,16.00,0.0,Top
U2,ESP32-S3-WROOM-1,MODULE,45.00,27.50,90.0,Top
U3,ES8388,QFN-28,68.00,36.00,0.0,Top
U4,B0505S-1WR3,SIP-4,68.00,15.00,0.0,Top
U5,BMI270,LGA-14,45.00,43.00,0.0,Top
U6,TCAN334G,SOIC-8,24.00,42.00,0.0,Top
Q1,TLP222A,SOIC-4,65.00,45.00,0.0,Top
Q2,TLP222A,SOIC-4,70.00,45.00,0.0,Top
Q3,TLP222A,SOIC-4,75.00,45.00,0.0,Top
Q4,TLP222A,SOIC-4,80.00,45.00,0.0,Top
D1,WS2812B,LED-2020,45.00,16.00,0.0,Top
D2,SMBJ36A,DO-214AA,10.00,12.00,180.0,Top
D3,SMBJ36A,DO-214AA,10.00,18.00,180.0,Top
L1,47uH,IND-7.3x7.3,25.00,16.00,0.0,Top
J1,HD26_FEMALE,DSUB-26,2.00,27.50,270.0,Top
J2,MicroSD_SDIO,PUSH_PUSH,52.00,52.00,180.0,Top
J3,USB_C_IP67,TYPE_C,45.00,2.50,0.0,Top
J4,M8_SOCKET,HDR-3,82.00,15.00,0.0,Top
