Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF_16V","C_0805_2012Metric",74.000000,-68.500000,0.000000,bottom
"C2","10uF_10V","C_0805_2012Metric",86.000000,-68.500000,0.000000,bottom
"C3","100nF","C_0603_1608Metric",92.000000,-68.500000,0.000000,bottom
"C4","100nF","C_0603_1608Metric",108.000000,-68.500000,0.000000,bottom
"D25","PESD5V0S2BT","SOT-23",72.000000,-131.500000,0.000000,bottom
"J1","JST_SH_4P_CENTRAL","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",82.000000,-131.500000,0.000000,bottom
"J2","JST_SH_4P_MR20","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",118.000000,-131.500000,0.000000,bottom
"U1","ESP32-C3FN4","QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm",100.000000,-68.500000,0.000000,bottom
"U2","TPS7A0533","SOT-23-5",80.000000,-68.500000,0.000000,bottom
"Y1","40MHz","Crystal_SMD_2016-4Pin_2.0x1.6mm",120.000000,-68.500000,0.000000,bottom
"D1","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",68.000000,-68.500000,0.000000,top
"D2","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",78.670000,-68.500000,0.000000,top
"D3","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",89.330000,-68.500000,0.000000,top
"D4","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",100.000000,-68.500000,0.000000,top
"D5","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",110.670000,-68.500000,0.000000,top
"D6","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",121.330000,-68.500000,0.000000,top
"D7","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",132.000000,-68.500000,0.000000,top
"D8","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",136.500000,-80.000000,90.000000,top
"D9","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",136.500000,-90.000000,90.000000,top
"D10","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",136.500000,-100.000000,90.000000,top
"D11","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",136.500000,-110.000000,90.000000,top
"D12","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",136.500000,-120.000000,90.000000,top
"D13","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",132.000000,-131.500000,180.000000,top
"D14","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",121.330000,-131.500000,180.000000,top
"D15","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",110.670000,-131.500000,180.000000,top
"D16","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",100.000000,-131.500000,180.000000,top
"D17","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",89.330000,-131.500000,180.000000,top
"D18","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",78.670000,-131.500000,180.000000,top
"D19","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",68.000000,-131.500000,180.000000,top
"D20","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",63.500000,-120.000000,-90.000000,top
"D21","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",63.500000,-110.000000,-90.000000,top
"D22","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",63.500000,-100.000000,-90.000000,top
"D23","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",63.500000,-90.000000,-90.000000,top
"D24","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",63.500000,-80.000000,-90.000000,top
