Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U1,ESP32-C3-WROOM-02,MODULE,125.00,86.00,0.0,Top
U2,MAX-M10S,LCC-10,108.50,93.00,0.0,Top
U3,SX1262,QFN-24,141.50,93.00,0.0,Top
U4,DS2401,SOT-23,125.00,97.00,0.0,Top
J1,POGO_6PIN,HDR-6,125.00,102.00,0.0,Top
ANT1,868MHz_UFL,UFL,144.00,80.00,0.0,Top
ANT2,GNSS_UFL,UFL,106.00,80.00,0.0,Top
L1,47nH,0603,141.50,97.50,0.0,Top
D1,TVS,SOD-323,118.50,97.50,0.0,Top
C1,10uF,0805,122.00,91.50,0.0,Top
C2,100nF,0603,128.00,91.50,0.0,Top
C3,100nF,0603,108.50,99.00,0.0,Top
C4,100nF,0603,141.50,87.50,0.0,Top
