Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",107.250000,-75.525000,-90.000000,top
"C2","10uF","C_0805_2012Metric",107.000000,-83.450000,90.000000,top
"D1","1N4148WS","D_SOD-323",126.950000,-73.750000,0.000000,top
"D2","1N4148WS","D_SOD-323",126.950000,-78.250000,0.000000,top
"D3","1N4148WS","D_SOD-323",126.950000,-82.750000,0.000000,top
"D4","1N4148WS","D_SOD-323",126.950000,-87.000000,0.000000,top
"F1","MF-MSMF050-2","Fuse_1812_4532Metric",112.500000,-69.750000,0.000000,top
"H1","M2_MountingHole","MountingHole_2.2mm_M2_Pad",103.000000,-70.500000,0.000000,top
"H2","M2_MountingHole","MountingHole_2.2mm_M2_Pad",103.000000,-89.500000,0.000000,top
"H3","M2_MountingHole","MountingHole_2.2mm_M2_Pad",132.000000,-70.500000,0.000000,top
"H4","M2_MountingHole","MountingHole_2.2mm_M2_Pad",132.000000,-89.500000,0.000000,top
"J1","POD_BASE_DOCKING_SOCKET_6P","PinSocket_1x06_P2.54mm_Horizontal",102.500000,-73.650000,0.000000,top
"J2","INTERCOM_HEADSET_6P","JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal",111.250000,-87.750000,90.000000,top
"J_ACT","ACTUATORS_8P","JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal",131.870000,-80.200000,90.000000,top
"Q1","AO3400A","SOT-23",123.275000,-73.750000,0.000000,top
"Q2","AO3400A","SOT-23",123.275000,-78.250000,0.000000,top
"Q3","AO3400A","SOT-23",123.275000,-82.750000,0.000000,top
"Q4","AO3400A","SOT-23",123.275000,-87.250000,0.000000,top
"R1","100R","R_0603_1608Metric",119.775000,-73.250000,0.000000,top
"R2","100R","R_0603_1608Metric",119.775000,-77.750000,0.000000,top
"R3","100R","R_0603_1608Metric",119.775000,-82.250000,0.000000,top
"R4","100R","R_0603_1608Metric",119.775000,-86.750000,0.000000,top
"R5","100k","R_0603_1608Metric",119.775000,-75.250000,0.000000,top
"R6","100k","R_0603_1608Metric",119.775000,-79.750000,0.000000,top
"R7","100k","R_0603_1608Metric",119.775000,-84.250000,0.000000,top
"R8","100k","R_0603_1608Metric",119.775000,-88.750000,0.000000,top
"R9","4.7k","R_0603_1608Metric",106.500000,-78.775000,90.000000,top
"U1","CH32V003F4P6","TSSOP-20_4.4x6.5mm_P0.65mm",113.600000,-76.675000,0.000000,top
