Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF_3V3","C_0805_2012Metric",113.750000,-84.200000,90.000000,top
"C2","100nF_MCU","C_0603_1608Metric",111.250000,-104.725000,90.000000,top
"C3","100nF_GNSS","C_0603_1608Metric",117.750000,-84.225000,90.000000,top
"C4","100nF_LoRa","C_0603_1608Metric",115.250000,-107.775000,90.000000,top
"D1","LED_Green_5V","LED_0805_2012Metric",108.000000,-113.437500,-90.000000,top
"F1","PTC_500mA","R_1206_3216Metric",111.287500,-89.750000,0.000000,top
"J1","6-Pin_OMM_Female_Socket","PinSocket_1x06_P2.54mm_Horizontal",102.500000,-89.650000,0.000000,top
"J4","U.FL_LORA","U.FL_Hirose_U.FL-R-SMT-1_Vertical",142.250000,-114.500000,0.000000,top
"J5","U.FL_GNSS","U.FL_Hirose_U.FL-R-SMT-1_Vertical",115.500000,-76.025000,180.000000,top
"R1","1.5k_LED_Resistor","R_0603_1608Metric",108.000000,-109.075000,90.000000,top
"U1","ESP32-C3-WROOM-02U","ESP32-C3-WROOM-02U",138.000000,-96.000000,-90.000000,top
"U2","MAX-M10S_GNSS","ublox_MAX",130.250000,-78.150000,180.000000,top
"U3","SX1262_LoRa_+22dBm","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",122.000000,-113.500000,0.000000,top
"U4","DS2401_1Wire_ID","SOT-23",116.187500,-103.050000,0.000000,top
