Ref,Val,Package,PosX,PosY,Rot,Side
"U1","ESP32-C3-WROOM-02","ESP32-C3-WROOM-02",15.000000,-21.000000,0.000000,top
"U2","USB2512B-AEZG","QFN-36-1EP_6x6mm_P0.5mm_EP4.5x4.5mm",35.000000,-21.000000,0.000000,top
"U3","TPS2051BDBVR","SOT-23-5",45.000000,-15.000000,0.000000,top
"U4","TCAN334G","SOIC-8_3.9x4.9mm_P1.27mm",15.000000,-35.000000,0.000000,top
"U5","LMR36015","Texas_S-PVQFN-N12",52.000000,-32.000000,0.000000,top
"U6","TLV75533PDBVR","SOT-23-5",25.000000,-32.000000,0.000000,top
"MIC1","SPH0645LM4H-B","Knowles_SPH0645_AcousticPort_Bottom",32.500000,-5.000000,180.000000,top
"D1","SMCJ36CA","D_SMC",58.000000,-35.000000,0.000000,top
"D2","CDSOT23-SM05U","SOT-23",8.000000,-8.000000,0.000000,top
"D3","LED_Green_5V_PWR","LED_0805_2012Metric",58.000000,-10.000000,0.000000,top
"D4","LED_Blue_ESP_LINK","LED_0805_2012Metric",58.000000,-6.000000,0.000000,top
"J1","BoomBox_USB_Host_In_4P","JST_GH_SM04B-GHS-TB_1x04_P1.25mm",35.000000,-38.000000,180.000000,top
"J2","Glovebox_USB_Port1_4P","JST_GH_SM04B-GHS-TB_1x04_P1.25mm",48.000000,-38.000000,180.000000,top
"J3","Ottocast_USB_Port2_4P","JST_GH_SM04B-GHS-TB_1x04_P1.25mm",48.000000,-5.000000,0.000000,top
"J4","Handlebar_PTT_Input_2P","JST_JWPF_B02B-JWPF-SK-R_1x02_P2.00mm",5.000000,-10.000000,90.000000,top
"J5","Fairing_CAN_Bus_3P","JST_GH_SM03B-GHS-TB_1x03_P1.25mm",5.000000,-25.000000,90.000000,top
"J6","Power_12V_Input_2P","JST_JWPF_B02B-JWPF-SK-R_1x02_P2.00mm",58.000000,-25.000000,-90.000000,top
