Wire_ID,Origin_Connector,Origin_Pin,Signal_Name,Wire_Color,Wire_Gauge,Dest_Connector,Dest_Pin,Notes
W01,HD26_MALE,1,POD1_VCC,Red,AWG22 (0.34mm²),M8_6P_FEMALE_POD1,1,Pod 1 5V Power
W02,HD26_MALE,2,POD1_GND,Black,AWG22 (0.34mm²),M8_6P_FEMALE_POD1,2,Pod 1 Power GND
W03,HD26_MALE,3,POD1_AUDIO_P,Blue,AWG26 (0.14mm²),M8_6P_FEMALE_POD1,3,Twisted Pair with Pin 4
W04,HD26_MALE,4,POD1_AUDIO_N,White-Blue,AWG26 (0.14mm²),M8_6P_FEMALE_POD1,4,Twisted Pair with Pin 3
W05,HD26_MALE,5,POD1_PTT_TRIGGER,Yellow,AWG26 (0.14mm²),M8_6P_FEMALE_POD1,5,Isolated PhotoMOS Opto Key
W06,HD26_MALE,6,POD1_1WIRE_ID,Green,AWG26 (0.14mm²),M8_6P_FEMALE_POD1,6,DS2401 Silicon Serial ROM
W07,HD26_MALE,7,POD2_VCC,Red,AWG22 (0.34mm²),M8_6P_FEMALE_POD2,1,Pod 2 5V Power
W08,HD26_MALE,8,POD2_GND,Black,AWG22 (0.34mm²),M8_6P_FEMALE_POD2,2,Pod 2 Power GND
W09,HD26_MALE,9,POD2_AUDIO_P,Orange,AWG26 (0.14mm²),M8_6P_FEMALE_POD2,3,Twisted Pair with Pin 10
W10,HD26_MALE,10,POD2_AUDIO_N,White-Orange,AWG26 (0.14mm²),M8_6P_FEMALE_POD2,4,Twisted Pair with Pin 9
W11,HD26_MALE,11,POD2_PTT_TRIGGER,Brown,AWG26 (0.14mm²),M8_6P_FEMALE_POD2,5,Isolated PhotoMOS Opto Key
W12,HD26_MALE,12,POD2_1WIRE_ID,Grey,AWG26 (0.14mm²),M8_6P_FEMALE_POD2,6,DS2401 Silicon Serial ROM
W13,HD26_MALE,13,POD3_VCC,Red,AWG22 (0.34mm²),M8_6P_FEMALE_POD3,1,Pod 3 5V Power (Rear Transceiver)
W14,HD26_MALE,14,POD3_GND,Black,AWG22 (0.34mm²),M8_6P_FEMALE_POD3,2,Pod 3 Power GND
W15,HD26_MALE,15,POD3_UART_TX,Violet,AWG26 (0.14mm²),M8_6P_FEMALE_POD3,3,High-Speed UART (460.8k Baud)
W16,HD26_MALE,16,POD3_UART_RX,White,AWG26 (0.14mm²),M8_6P_FEMALE_POD3,4,High-Speed UART (460.8k Baud)
W17,HD26_MALE,17,POD3_GNSS_PPS,Pink,AWG26 (0.14mm²),M8_6P_FEMALE_POD3,5,1-PPS Hardware Time Sync
W18,HD26_MALE,18,POD3_1WIRE_ID,Green-Black,AWG26 (0.14mm²),M8_6P_FEMALE_POD3,6,DS2401 Silicon Serial ROM
W19,HD26_MALE,19,VBAT_KL30,Red-White,AWG20 (0.50mm²),SUPERSEAL_4P_POWER,1,Permanent 12V Battery Power
W20,HD26_MALE,20,IGNITION_KL15,Yellow-Red,AWG22 (0.34mm²),SUPERSEAL_4P_POWER,2,Switched Ignition 12V
W21,HD26_MALE,21,VEHICLE_GND,Black-White,AWG20 (0.50mm²),SUPERSEAL_4P_POWER,3,Vehicle Ground (KL31)
W22,HD26_MALE,22,CHASSIS_EARTH,Green-Yellow,AWG20 (0.50mm²),SUPERSEAL_4P_POWER,4,Direct Motorcycle Frame Earth
W23,HD26_MALE,23,CAN_H,Yellow-Black,AWG24 (0.22mm²),M8_4P_FEMALE_CAN_MIC,1,ISO 11898-2 CAN High (120Ω Diff)
W24,HD26_MALE,24,CAN_L,Green-White,AWG24 (0.22mm²),M8_4P_FEMALE_CAN_MIC,2,ISO 11898-2 CAN Low (120Ω Diff)
W25,HD26_MALE,25,FRONT_MIC_SIG,Blue-Black,AWG26 (0.14mm²),M8_4P_FEMALE_CAN_MIC,3,Ambient Mic Signal (SPH0645)
W26,HD26_MALE,26,FRONT_MIC_GND,Black-Grey,AWG26 (0.14mm²),M8_4P_FEMALE_CAN_MIC,4,Ambient Mic Ground Reference
