Designator,Comment,Footprint,LCSC Part #,Quantity
ANT1,868MHz_CHIP_ANT,R_0805_2012Metric,,1
ANT2,2.4GHz_BLE_ANT,R_0805_2012Metric,,1
C1,10uF_VBAT,C_0603_1608Metric,,1
C2,10uF_3V3,C_0603_1608Metric,,1
C3,100nF_MCU,C_0402_1005Metric,,1
C4,100nF_LORA,C_0402_1005Metric,,1
D1,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,1
J_SWD,SWD_PROG,PinHeader_1x04_P1.27mm_Vertical_SMD_Pin1Left,,1
L1,4.7uH_DCDC,L_0603_1608Metric,,1
LS1,CPT-9019S_BUZZER,Buzzer_CUI_CPT-9019S-SMT,,1
M1,LRA_MOTOR_PADS,R_0805_2012Metric,,1
P_BAT,LIPO_BAT_PADS,R_0805_2012Metric,,1
P_QI,QI_COIL_PADS,R_0805_2012Metric,,1
"R1, R2",10k_PULLUP,R_0402_1005Metric,,2
SW1,BTN_ARM,SW_Push_SPST_NO_Alps_SKRK,,1
SW2,BTN_SOS,SW_Push_SPST_NO_Alps_SKRK,,1
U1,nRF52840-QIAA,Nordic_AQFN-73-1EP_7x7mm_P0.5mm,,1
U2,SX1262IMLTRT,QFN-24-1EP_4x4mm_P0.5mm_EP2.8x2.8mm,,1
U3,DRV2605LDGSR,MSOP-10_3x3mm_P0.5mm,,1
U4,BQ51003YFPR,Texas_DSBGA-28_1.9x3mm_Layout4x7_P0.4mm,,1
U5,BQ25100YFPR,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,,1
Y1,32.000MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,,1
Y2,32.768kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,,1
Y3,32MHz_TCXO,Crystal_SMD_2016-4Pin_2.0x1.6mm,,1
