Ref,Val,Package,PosX,PosY,Rot,Side
"ANT1","868MHz_CHIP_ANT","R_0805_2012Metric",102.000000,-73.500000,90.000000,top
"ANT2","2.4GHz_BLE_ANT","R_0805_2012Metric",102.000000,-85.500000,90.000000,top
"C1","10uF_VBAT","C_0603_1608Metric",126.500000,-80.000000,90.000000,top
"C2","10uF_3V3","C_0603_1608Metric",117.000000,-74.200000,0.000000,top
"C3","100nF_MCU","C_0402_1005Metric",114.500000,-77.000000,90.000000,top
"C4","100nF_LORA","C_0402_1005Metric",104.500000,-75.000000,90.000000,top
"D1","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",135.500000,-79.500000,0.000000,top
"J_SWD","SWD_PROG","PinHeader_1x04_P1.27mm_Vertical_SMD_Pin1Left",117.000000,-87.200000,0.000000,top
"L1","4.7uH_DCDC","L_0603_1608Metric",120.000000,-77.000000,90.000000,top
"LS1","CPT-9019S_BUZZER","Buzzer_CUI_CPT-9019S-SMT",123.500000,-74.500000,0.000000,top
"M1","LRA_MOTOR_PADS","R_0805_2012Metric",124.000000,-87.500000,0.000000,top
"P_BAT","LIPO_BAT_PADS","R_0805_2012Metric",129.500000,-85.500000,0.000000,top
"P_QI","QI_COIL_PADS","R_0805_2012Metric",129.500000,-71.200000,0.000000,top
"R1","10k_PULLUP","R_0402_1005Metric",132.500000,-73.500000,0.000000,top
"R2","10k_PULLUP","R_0402_1005Metric",132.500000,-85.500000,0.000000,top
"SW1","BTN_ARM","SW_Push_SPST_NO_Alps_SKRK",135.500000,-73.500000,0.000000,top
"SW2","BTN_SOS","SW_Push_SPST_NO_Alps_SKRK",135.500000,-85.500000,0.000000,top
"U1","nRF52840-QIAA","Nordic_AQFN-73-1EP_7x7mm_P0.5mm",117.000000,-79.500000,0.000000,top
"U2","SX1262IMLTRT","QFN-24-1EP_4x4mm_P0.5mm_EP2.8x2.8mm",107.500000,-75.000000,0.000000,top
"U3","DRV2605LDGSR","MSOP-10_3x3mm_P0.5mm",123.500000,-84.500000,0.000000,top
"U4","BQ51003YFPR","Texas_DSBGA-28_1.9x3mm_Layout4x7_P0.4mm",129.500000,-74.500000,90.000000,top
"U5","BQ25100YFPR","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",129.500000,-80.000000,0.000000,top
"Y1","32.000MHz","Crystal_SMD_2016-4Pin_2.0x1.6mm",112.500000,-75.000000,0.000000,top
"Y2","32.768kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",112.500000,-84.500000,0.000000,top
"Y3","32MHz_TCXO","Crystal_SMD_2016-4Pin_2.0x1.6mm",107.500000,-81.500000,0.000000,top
