Designator,Comment,Footprint,LCSC Part #,Quantity
C1,10uF_16V,C_0805_2012Metric,,1
C2,10uF_10V,C_0805_2012Metric,,1
"C3, C4",100nF,C_0603_1608Metric,,2
D25,PESD5V0S2BT,SOT-23,,1
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D4, D5, D6, D7, D8, D9",WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,36
"H1, H2, H3, H4",M2.5_MountingHole,MountingHole_2.7mm_M2.5_Pad,,4
J1,JST_SH_4P_CENTRAL,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,,1
J2,JST_SH_4P_MR20,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,,1
J3,U.FL_5G9_V2X,U.FL_Hirose_U.FL-R-SMT-1_Vertical,,1
"R1, R2",10k,R_0603_1608Metric,,2
SW1,BOOT_SW,SW_Push_SPST_NO_Alps_SKRK,,1
SW2,RESET_SW,SW_Push_SPST_NO_Alps_SKRK,,1
U1,ESP32-C5-WROOM-1U,ESP32-C3-WROOM-02U,,1
U2,TPS7A0533,SOT-23-5,,1
