Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF_16V","C_0805_2012Metric",136.000000,-84.000000,180.000000,bottom
"C2","10uF_10V","C_0805_2012Metric",152.000000,-84.000000,180.000000,bottom
"C3","100nF","C_0603_1608Metric",65.000000,-91.000000,180.000000,bottom
"C4","100nF","C_0603_1608Metric",65.000000,-112.000000,180.000000,bottom
"D25","PESD5V0S2BT","SOT-23",135.000000,-104.000000,180.000000,bottom
"J1","JST_SH_4P_CENTRAL","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",144.000000,-104.000000,180.000000,bottom
"J2","JST_SH_4P_MR20","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",144.000000,-120.000000,180.000000,bottom
"J3","U.FL_5G9_V2X","U.FL_Hirose_U.FL-R-SMT-1_Vertical",56.000000,-82.000000,180.000000,bottom
"R1","10k","R_0603_1608Metric",48.000000,-91.000000,180.000000,bottom
"R2","10k","R_0603_1608Metric",48.000000,-112.000000,180.000000,bottom
"SW1","BOOT_SW","SW_Push_SPST_NO_Alps_SKRK",64.000000,-122.000000,180.000000,bottom
"SW2","RESET_SW","SW_Push_SPST_NO_Alps_SKRK",49.000000,-122.000000,180.000000,bottom
"U1","ESP32-C5-WROOM-1U","ESP32-C3-WROOM-02U",56.000000,-100.000000,180.000000,bottom
"U2","TPS7A0533","SOT-23-5",144.000000,-84.000000,180.000000,bottom
"D1","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",52.000000,-82.000000,0.000000,top
"D2","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",52.000000,-94.000000,0.000000,top
"D3","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",52.000000,-106.000000,0.000000,top
"D4","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",52.000000,-118.000000,0.000000,top
"D5","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",58.000000,-82.000000,0.000000,top
"D6","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",58.000000,-94.000000,0.000000,top
"D7","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",58.000000,-106.000000,0.000000,top
"D8","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",58.000000,-118.000000,0.000000,top
"D9","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",64.000000,-82.000000,0.000000,top
